,solar cost $/MW,battery cost $/MWh,load cost $/MW,arraysize (MW),battery size (MWh),load size (1 MW by definition),array cost $,battery cost $,load cost $ (all normalized to 1 MW),total power system cost $,total system cost $,total system cost per utilization,battery size relative to 1 MW array,load size relative to 1 MW array,annual battery utilization,annual load utilization
0,200000,200000,10000.0,1.3919999999999986,0.0,1.0,278399.9999999997,0.0,10000.0,278399.9999999997,288399.9999999997,1549416.4450258876,0.0,0.7183908045977019,0.0,0.1861345933986012
1,200000,200000,12589.254117941673,1.4049999999999994,0.0,1.0,280999.9999999999,0.0,12589.254117941673,280999.9999999999,293589.25411794154,1563251.3727916738,0.0,0.7117437722419933,0.0,0.18780681036194852
2,200000,200000,15848.931924611135,1.417999999999999,0.0,1.0,283599.9999999998,0.0,15848.931924611135,283599.9999999998,299448.931924611,1580528.8799433107,0.0,0.7052186177715096,0.0,0.18946122131937973
3,200000,200000,19952.623149688796,1.4319999999999986,0.0,1.0,286399.9999999997,0.0,19952.623149688796,286399.9999999997,306352.62314968853,1602083.8538100107,0.0,0.6983240223463694,0.0,0.19122134114336975
4,200000,200000,25118.8643150958,1.447999999999999,0.0,1.0,289599.9999999998,0.0,25118.8643150958,289599.9999999998,314718.86431509565,1628955.0822564806,0.0,0.6906077348066303,0.0,0.19320291132836945
5,200000,200000,31622.776601683796,1.4689999999999988,0.0,1.0,293799.99999999977,0.0,31622.776601683796,293799.99999999977,325422.7766016836,1662404.6882375516,0.0,0.6807351940095309,0.0,0.1957542461858011
6,200000,200000,39810.717055349734,1.4969999999999988,0.0,1.0,299399.99999999977,0.0,39810.717055349734,299399.99999999977,339210.7170553495,1703880.7743207752,0.0,0.6680026720106886,0.0,0.19908125155680004
7,200000,200000,50118.723362727236,1.5279999999999987,0.0,1.0,305599.99999999977,0.0,50118.723362727236,305599.99999999977,355718.723362727,1755174.807018483,0.0,0.6544502617801052,0.0,0.20266854443232737
8,200000,200000,63095.734448019335,1.5649999999999977,0.0,1.0,312999.99999999953,0.0,63095.734448019335,312999.99999999953,376095.7344480189,1818523.3845793589,0.0,0.6389776357827486,0.0,0.20681380159156612
9,200000,200000,79432.82347242816,1.6089999999999984,0.0,1.0,321799.9999999997,0.0,79432.82347242816,321799.9999999997,401232.8234724279,1896626.3563924711,0.0,0.6215040397762591,0.0,0.21155080025124373
10,200000,200000,100000.0,1.662999999999998,0.0,1.0,332599.9999999996,0.0,100000.0,332599.9999999996,432599.9999999996,1992608.7153324261,0.0,0.6013229104028871,0.0,0.2171023325710131
11,200000,200000,125892.54117941674,1.7309999999999983,0.0,1.0,346199.99999999965,0.0,125892.54117941674,346199.99999999965,472092.5411794164,2110059.526264507,0.0,0.5777007510109768,0.0,0.22373422896517714
12,200000,200000,158489.3192461114,1.8119999999999983,0.0,1.0,362399.99999999965,0.0,158489.3192461114,362399.99999999965,520889.3192461111,2253267.9708335847,0.0,0.5518763796909497,0.0,0.23117060464557654
13,200000,200000,199526.23149688798,1.9089999999999985,0.0,1.0,381799.9999999997,0.0,199526.23149688798,381799.9999999997,581326.2314968877,2427676.618221497,0.0,0.523834468308015,0.0,0.23945785329627808
14,200000,200000,251188.6431509581,2.028999999999998,0.0,1.0,405799.99999999965,0.0,251188.6431509581,405799.99999999965,656988.6431509578,2639158.9799901536,0.0,0.4928536224741256,0.0,0.248938638457244
15,200000,200000,316227.7660168379,2.164999999999996,0.0,1.0,432999.9999999992,0.0,316227.7660168379,432999.9999999992,749227.7660168371,2895218.7657174016,0.0,0.461893764434181,0.0,0.2587810547819474
16,200000,200000,398107.17055349733,2.3459999999999943,0.0,1.0,469199.99999999884,0.0,398107.17055349733,469199.99999999884,867307.1705534961,3204319.6076245196,0.0,0.4262574595055424,0.0,0.2706681220218426
17,200000,200000,501187.23362727254,2.5359999999999956,0.0,1.0,507199.9999999991,0.0,501187.23362727254,507199.9999999991,1008387.2336272716,3577056.11588151,0.0,0.3943217665615149,0.0,0.2819042254188317
18,200000,200000,630957.3444801933,2.7299999999999955,0.0,1.0,545999.9999999991,0.0,630957.3444801933,545999.9999999991,1176957.3444801923,4028680.9212440047,0.0,0.3663003663003669,0.0,0.29214459211050237
19,200000,200000,794328.2347242817,2.934999999999995,0.0,1.0,586999.9999999991,0.0,794328.2347242817,586999.9999999991,1381328.234724281,4578638.560671776,0.0,0.3407155025553668,0.0,0.301689730783557
20,200000,200000,1000000.0,3.1589999999999976,0.0,1.0,631799.9999999995,0.0,1000000.0,631799.9999999995,1631799.9999999995,5250076.031676239,0.0,0.3165558721114279,0.0,0.3108145463331509
